21:33:16 | Status=StartPending | OnStart: START_PENDING
21:57:23 | Status=Running | Heartbeat: Service Running
21:57:24 | Status=Running | Heartbeat: Service Running
21:57:25 | Status=Running | Heartbeat: Service Running
21:57:26 | Status=Running | Heartbeat: Service Running
21:57:27 | Status=Running | Heartbeat: Service Running
21:57:28 | Status=Running | Heartbeat: Service Running
21:57:29 | Status=Running | Heartbeat: Service Running
21:57:30 | Status=Running | Heartbeat: Service Running
21:57:31 | Status=Running | Heartbeat: Service Running
21:57:32 | Status=Running | Heartbeat: Service Running
21:57:33 | Status=Running | Heartbeat: Service Running
21:57:34 | Status=Running | Heartbeat: Service Running
21:57:35 | Status=Running | Heartbeat: Service Running
21:57:36 | Status=Running | Heartbeat: Service Running
21:57:38 | Status=Running | Heartbeat: Service Running
21:57:39 | Status=Running | Heartbeat: Service Running
21:57:40 | Status=Running | Heartbeat: Service Running
21:57:41 | Status=Running | Heartbeat: Service Running
21:57:42 | Status=Running | Heartbeat: Service Running
21:57:43 | Status=Running | Heartbeat: Service Running
21:57:44 | Status=Running | Heartbeat: Service Running
21:57:45 | Status=Running | Heartbeat: Service Running
21:57:46 | Status=Running | Heartbeat: Service Running
21:57:47 | Status=Running | Heartbeat: Service Running
21:57:48 | Status=Running | Heartbeat: Service Running
21:57:49 | Status=Running | Heartbeat: Service Running
21:57:50 | Status=Running | Heartbeat: Service Running
21:57:51 | Status=Running | Heartbeat: Service Running
21:57:52 | Status=Running | Heartbeat: Service Running
21:57:53 | Status=Running | Heartbeat: Service Running
21:57:54 | Status=Running | Heartbeat: Service Running
21:57:55 | Status=Running | Heartbeat: Service Running
21:57:56 | Status=Running | Heartbeat: Service Running
21:57:57 | Status=Running | Heartbeat: Service Running
21:57:58 | Status=Running | Heartbeat: Service Running
21:57:59 | Status=Running | Heartbeat: Service Running
21:58:00 | Status=Running | Heartbeat: Service Running
21:58:01 | Status=Running | Heartbeat: Service Running
21:58:02 | Status=Running | Heartbeat: Service Running
21:58:03 | Status=Running | Heartbeat: Service Running
21:58:04 | Status=Running | Heartbeat: Service Running
21:58:05 | Status=Running | Heartbeat: Service Running
21:58:06 | Status=Running | Heartbeat: Service Running
21:58:07 | Status=Running | Heartbeat: Service Running
21:58:08 | Status=Running | Heartbeat: Service Running
21:58:09 | Status=Running | Heartbeat: Service Running
21:58:10 | Status=Running | Heartbeat: Service Running
21:58:10 | Status=StopPending | OnStop: STOP_PENDING
21:58:10 | Status=StopPending | OnStop: STOPPED
21:59:01 | Status=StartPending | OnStart: START_PENDING
21:59:01 | Status=StartPending | OnStart: RUNNING
21:59:02 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:03 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:04 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:05 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:06 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:07 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:08 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:09 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:10 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:11 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:12 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:13 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:14 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:15 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:16 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:17 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:18 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:19 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:20 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:21 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:22 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:23 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:24 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:25 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:26 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:27 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:28 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:29 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:30 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:31 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:32 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:33 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:34 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:35 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:36 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:37 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:38 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:39 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:40 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:41 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:42 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:43 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:44 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:45 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:46 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:47 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:48 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:49 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:50 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:51 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:52 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:53 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:54 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:55 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:57 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:58 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
21:59:59 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:00 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:01 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:02 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:03 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:04 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:05 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:06 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:07 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:08 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:09 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:10 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:11 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:12 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:13 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:14 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:15 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:16 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:17 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:18 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:19 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:20 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:21 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:22 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:23 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:24 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:25 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:26 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:27 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:28 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:29 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:30 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:31 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:32 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:33 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:34 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:35 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:36 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:37 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:38 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:39 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:40 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:41 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:42 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:43 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:44 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:45 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:46 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:47 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:48 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:49 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
22:00:50 | Status=Running | Heartbeat: Service Running
EVENT LOG ERROR: Object reference not set to an instance of an object.
